risk_id,risk_type,contract_type,clause_name,risk_description,legal_basis,modification_suggestion,impact_analysis
R063,一般风险,委托合同,转委托,未经同意转委托,民法典第923条,约定是否可转委托，需经同意,责任承担
R064,重要风险,委托合同,任意解除,未约定任意解除的后果,民法典第933条,约定任意解除的赔偿责任,解除后的损失赔偿
R065,重要风险,中介合同,报酬,未约定何时支付报酬,民法典第961-964条,明确促成交易才支付报酬,报酬支付争议
R066,重要风险,中介合同,跳单,无禁止跳单条款,民法典第965条,约定禁止跳单条款及违约责任,权益保护
R067,重要风险,中介合同,必要费用,未约定必要费用承担,民法典第964条,明确未促成交易时的必要费用承担,费用承担
R068,重要风险,技术开发合同,技术目标,技术目标不明确,民法典第851条,明确技术目标、技术内容、技术指标,履行争议
R069,重要风险,技术开发合同,验收标准,验收标准不明确,民法典第851条,明确验收标准、程序,质量纠纷
R070,重要风险,技术开发合同,成果归属,技术成果归属不明确,民法典第859、860条,明确技术成果的归属、分享、申请专利的权利,知识产权纠纷
R071,一般风险,技术开发合同,风险承担,技术开发风险承担不明,民法典第858条,约定技术开发风险的承担,风险承担争议
R072,重要风险,商品房买卖,预售许可,开发商无预售许可证,城市房地产管理法第45条,核实开发商是否有预售许可证,合同可能无效
R073,重要风险,商品房买卖,面积差异,面积差异处理不明确,商品房销售管理规定,约定面积差异的处理方式（多退少补/3%以内）,价款争议
R074,重要风险,商品房买卖,交付条件,交付条件不明确,商品房销售管理办法,明确交付条件（竣工验收/备案）,交付纠纷
R075,重要风险,商品房买卖,产权登记,产权登记期限不明,城市房地产管理法,约定办理产权登记的期限和责任,办证纠纷
R076,重要风险,物业服务合同,服务内容,服务内容不明确,民法典、物业管理条例,明确服务内容、服务标准、服务范围,服务质量纠纷
R077,重要风险,物业服务合同,物业费,物业费不明确或调整机制不明,物业管理条例,明确物业费标准、支付方式、调整机制,费用争议
R078,重要风险,物业服务合同,维修义务,维修义务划分不明,民法典第942条,明确业主和物业公司的维修义务划分,维修纠纷
